,ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
187,27791,0.00000,0.00000,0.00000,0.00000,0.05085,1.00000,0.00000,0.05085,0.15254,0.00000,0.00000
188,16950,0.08046,0.06897,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.01149,0.00000,0.00000
189,11972,0.00000,0.19048,0.00000,0.09524,0.19048,1.00000,0.28571,0.00000,0.09524,0.00000,0.00000
190,15318,0.06061,0.07576,0.00000,0.10606,0.01515,1.00000,0.01515,0.00000,0.13636,0.00000,0.00000
191,5166,0.00000,0.00000,0.00000,0.00000,0.09524,1.00000,0.00000,0.14286,0.16667,0.00000,0.00000
192,23331,0.00000,0.00000,0.00000,0.29851,0.02985,1.00000,0.00000,0.00000,0.20896,0.20896,0.00000
193,19064,0.00000,0.00000,0.00000,0.00000,0.02985,1.00000,0.00000,0.01493,0.01493,0.00000,0.00000
194,29567,0.00000,0.00000,0.00000,0.08219,0.01370,1.00000,0.00000,0.04110,0.09589,0.00000,0.00000
195,5333,0.00000,0.00000,0.00000,0.00000,0.17778,1.00000,0.00000,0.11111,0.13333,0.00000,0.00000
196,4925,0.00000,0.00000,0.00000,0.00000,0.09756,1.00000,0.00000,0.19512,0.19512,0.00000,0.00000
197,415,0.00000,0.22581,0.00000,0.16129,0.00000,1.00000,0.00000,0.00000,0.12903,0.00000,0.00000
198,21903,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
199,545,0.03774,0.20755,0.00000,0.05660,0.00000,1.00000,0.00000,0.00000,0.07547,0.00000,0.00000
200,27788,0.00000,0.00000,0.00000,0.00000,0.02469,1.00000,0.00000,0.03704,0.04938,0.00000,0.00000
201,15371,0.00000,0.15517,0.06897,0.10345,0.01724,1.00000,0.06897,0.00000,0.13793,0.00000,0.00000
202,25626,0.00000,0.00000,0.00000,0.03636,0.00000,1.00000,0.00000,0.00000,0.14545,0.18182,0.00000
203,1,0.00000,0.11538,0.00000,0.01923,0.00000,1.00000,0.00000,0.00000,0.15385,0.00000,0.00000
204,572,0.08108,0.18919,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.02703,0.00000,0.00000
205,17004,0.02564,0.07692,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
206,15230,0.00000,0.00000,0.00000,0.04762,0.00000,1.00000,0.02381,0.00000,0.00000,0.00000,0.00000
207,1869,0.00000,0.11111,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
208,32937,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.01562,0.00000,0.00000,0.00000
209,5400,0.00000,0.00000,0.00000,0.00000,0.07576,1.00000,0.00000,0.10606,0.15152,0.00000,0.00000
210,17042,0.06250,0.12500,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
211,16980,0.03571,0.10714,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
212,18927,0.00000,0.00000,0.00000,0.00000,0.02239,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
213,25676,0.00000,0.02326,0.00000,0.09302,0.11628,1.00000,0.09302,0.00000,0.13953,0.16279,0.00000
214,1502,0.00000,0.13043,0.06522,0.00000,0.00000,1.00000,0.00000,0.00000,0.06522,0.00000,0.02174
215,20961,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
216,23281,0.00000,0.00000,0.00000,0.40000,0.16000,1.00000,0.00000,0.00000,0.36000,0.64000,0.00000
217,29492,0.00000,0.00000,0.00000,0.01923,0.01923,1.00000,0.00000,0.03846,0.00000,0.00000,0.00000
218,29670,0.00000,0.06818,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
219,15349,0.00000,0.00000,0.00000,0.06098,0.00000,1.00000,0.00000,0.00000,0.03659,0.00000,0.00000
220,16956,0.05000,0.15000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
221,1539,0.00000,0.00000,0.50000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000
222,21938,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
223,1897,0.00000,0.02000,0.00000,0.00000,0.02000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
224,28672,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.12500,0.00000,0.00000
225,27907,0.00000,0.00000,0.00000,0.00000,0.02326,1.00000,0.00000,0.02326,0.00000,0.00000,0.00000
226,23300,0.00000,0.00000,0.00000,0.13636,0.00000,1.00000,0.00000,0.00000,0.09091,0.00000,0.00000
227,22857,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
228,27813,0.00000,0.00000,0.00000,0.00000,0.04651,1.00000,0.00000,0.02326,0.06977,0.00000,0.00000
229,13881,0.20833,0.20833,0.00000,0.04167,0.04167,1.00000,0.12500,0.00000,0.08333,0.00000,0.00000
230,31826,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.03175,0.07937,0.00000,0.00000
231,27780,0.00000,0.00000,0.00000,0.00000,0.01852,1.00000,0.00000,0.00000,0.11111,0.00000,0.00000
232,5468,0.00000,0.00000,0.00000,0.00000,0.05263,1.00000,0.00000,0.08772,0.05263,0.00000,0.00000
233,27310,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.04167,0.04167,0.00000,0.00000
234,4098,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.12000,0.12000,0.00000,0.00000
235,17030,0.57143,0.14286,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
236,26834,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.08333,0.00000,0.00000
237,22947,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.14286,0.00000,0.00000
238,26926,0.00000,0.00000,0.00000,0.00000,0.07143,1.00000,0.00000,0.00000,0.09524,0.00000,0.00000
